id,EDANid,imageURL,thumbnail
01363,edanmdm:npg_S_NPG.2002.184.98,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_98,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_98/full/250,/0/default.jpg"
01364,edanmdm:npg_S_NPG.2002.184.979,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_979,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_979/full/250,/0/default.jpg"
01365,edanmdm:npg_S_NPG.2002.184.978,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_978,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_978/full/250,/0/default.jpg"
01366,edanmdm:npg_S_NPG.2002.184.977,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_977,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_977/full/250,/0/default.jpg"
01367,edanmdm:npg_S_NPG.2002.184.976,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_976,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_976/full/250,/0/default.jpg"
01368,edanmdm:npg_S_NPG.2002.184.975,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_975,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_975/full/250,/0/default.jpg"
01369,edanmdm:npg_S_NPG.2002.184.974,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_974,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_974/full/250,/0/default.jpg"
01370,edanmdm:npg_S_NPG.2002.184.973,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_973,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_973/full/250,/0/default.jpg"
01371,edanmdm:npg_S_NPG.2002.184.972,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_972,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_972/full/250,/0/default.jpg"
01372,edanmdm:npg_S_NPG.2002.184.971,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_971,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_971/full/250,/0/default.jpg"
01373,edanmdm:npg_S_NPG.2002.184.970,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_970,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_970/full/250,/0/default.jpg"
01374,edanmdm:npg_S_NPG.2002.184.97,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_97,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_97/full/250,/0/default.jpg"
01375,edanmdm:npg_S_NPG.2002.184.969,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_969,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_969/full/250,/0/default.jpg"
